,DROP,Numeric,Binary Values,Range (String),Range (Numeric),Numeric Sum,Numeric Sum,Binary Values,Range,Binary Values,Binary Values,Binary Values,Binary Values,Numeric Value,Range of Grades Received based on GPA
,StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
Pre-processing,Drop,Numeric,"Switch: 0=Male, 1=Female (String)","Switch: 0=Caucasians, 1=African American, 2=Asians, 3=Others (String)","Switch: 0=None, 1=High School, 2=Some College, 3=Bachelor's, 4=Higher (String)",Sum (Numeric),Sum (Numeric),"Switch: 0=No, 1=Yes (String)","Switch: 0=None, 1=Low, 2=Moderate, 3=High, 4=Very High","Switch: 0=No, 1=Yes (String)","Switch: 0=No, 1=Yes (String)","Switch: 0=No, 1=Yes (String)","Switch: 0=No, 1=Yes (String)",Calculation (Numeric),"Switch: 0=A (GPA >=3.5), 1=B (3.0<= GPA <3.5), 2=C (2.5 <=GPA <3.0), 3=D (2.0 <= GPA < 2.5), 4=F (GPA <2.0)"
,1001,17,1,0,2,19.83372281,7,1,2,0,0,1,0,2.929195592,2
,1002,18,0,0,1,15.40875606,0,0,1,0,0,0,0,3.042914833,1
,1003,15,0,2,3,4.210569769,26,0,2,0,0,0,0,0.112602254,4
,1004,17,1,0,3,10.02882947,14,0,3,1,0,0,0,2.05421814,3
,1005,17,1,0,2,4.672495273,17,1,3,0,0,0,0,1.288061182,4
,1006,18,0,0,1,8.191218545,0,0,1,1,0,0,0,3.084183614,1
,1007,15,0,1,1,15.60168047,10,0,3,0,1,0,0,2.748237415,2
,1008,15,1,1,4,15.42449631,22,1,1,1,0,0,0,1.360142712,4
,1009,17,0,0,0,4.562007558,1,0,2,0,1,0,1,2.89681919,2
,1010,16,1,0,1,18.44446636,0,0,3,1,0,0,0,3.57347421,0
,1011,17,0,0,1,11.85136366,11,0,1,0,0,0,0,2.147171625,3
,1012,17,0,0,1,7.598485819,15,0,2,0,0,0,1,1.559594519,4
,1013,17,0,1,1,10.03871162,21,0,3,1,0,0,0,1.520077815,4
,1014,17,0,1,2,12.10142507,21,0,4,0,1,0,0,1.751580958,4
,1015,18,1,0,1,11.19781064,9,1,2,0,0,0,0,2.396788117,3
,1016,15,0,0,2,9.728100711,17,1,0,0,1,0,0,1.341520717,4
,1017,18,0,3,1,10.09865608,14,0,2,1,1,0,0,2.232175278,3
,1018,18,1,0,0,3.528238209,16,1,2,0,0,0,0,1.384404176,4
,1019,18,0,1,3,16.25465809,29,0,2,1,0,0,1,0.469553323,4
,1020,17,0,0,1,10.8352064,9,0,2,0,0,1,0,2.395784095,3
,1021,16,1,0,3,2.621597234,2,0,3,0,0,0,1,2.7784113,2
,1022,15,0,0,2,15.32314203,25,0,1,1,0,0,0,0.346894037,4
,1023,16,1,1,0,18.64887957,29,1,1,0,0,0,0,0.312546231,4
,1024,18,1,3,4,18.94613798,20,0,2,1,0,0,0,1.770131877,4
,1025,18,1,0,1,7.380354648,15,0,2,0,0,0,0,1.505155622,4
,1026,16,1,0,3,2.710337471,5,0,4,0,0,1,0,2.977851918,2
,1027,16,0,0,1,10.36799253,2,0,2,0,1,0,0,2.948717672,2
,1028,16,1,0,3,2.252184587,8,0,3,0,0,1,0,2.14520472,3
,1029,18,0,0,0,18.67974837,10,0,3,1,0,0,0,2.854803929,2
,1030,18,0,0,2,3.671592547,20,0,3,1,0,0,0,1.519441726,4
,1031,15,0,2,2,5.055317199,12,1,0,0,1,0,0,1.72712031,4
