Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
17,female,caucasian,some-college,19.833722807854713,7,true,moderate,false,false,true,false,2.929195591667681,C
18,male,caucasian,high-school,15.40875605584674,0,false,low,false,false,false,false,3.042914833436377,B
15,male,asian,bachelors,4.21056976881226,26,false,moderate,false,false,false,false,0.1126022544661815,F
17,female,caucasian,bachelors,10.028829473958217,14,false,high,true,false,false,false,2.0542181397029484,D
17,female,caucasian,some-college,4.6724952729713305,17,true,high,false,false,false,false,1.2880611817953875,F
18,male,caucasian,high-school,8.191218545250186,0,false,low,true,false,false,false,3.0841836144863937,B
15,male,african-american,high-school,15.601680474699297,10,false,high,false,true,false,false,2.748237414891583,C
15,female,african-american,higher,15.424496305808074,22,true,low,true,false,false,false,1.360142712316461,F
17,male,caucasian,none,4.562007558047703,1,false,moderate,false,true,false,true,2.896819189513569,C
16,female,caucasian,high-school,18.4444663630972,0,false,high,true,false,false,false,3.5734742103297656,A
17,male,caucasian,high-school,11.851363655296536,11,false,low,false,false,false,false,2.1471716250185144,D
17,male,caucasian,high-school,7.59848581924029,15,false,moderate,false,false,false,true,1.5595945190402771,F
17,male,african-american,high-school,10.038711615617212,21,false,high,true,false,false,false,1.520077814874808,F
17,male,african-american,some-college,12.101425068754876,21,false,very high,false,true,false,false,1.7515809583340785,F
18,female,caucasian,high-school,11.197810636915708,9,true,moderate,false,false,false,false,2.396788117124796,D
15,male,caucasian,some-college,9.728100710723565,17,true,none,false,true,false,false,1.3415207165346672,F
18,male,other,high-school,10.098656081788002,14,false,moderate,true,true,false,false,2.232175277715976,D
18,female,caucasian,none,3.5282382085577235,16,true,moderate,false,false,false,false,1.3844041756940335,F
18,male,african-american,bachelors,16.25465808609359,29,false,moderate,true,false,false,true,0.4695533233798704,F
17,male,caucasian,high-school,10.835206398820308,9,false,moderate,false,false,true,false,2.3957840945306996,D
16,female,caucasian,bachelors,2.621597234094062,2,false,high,false,false,false,true,2.778411299920653,C
15,male,caucasian,some-college,15.32314203165556,25,false,low,true,false,false,false,0.3468940367050148,F
16,female,african-american,none,18.648879567547016,29,true,low,false,false,false,false,0.3125462305253549,F
18,female,other,higher,18.94613798473924,20,false,moderate,true,false,false,false,1.7701318767799732,F
18,female,caucasian,high-school,7.380354648223455,15,false,moderate,false,false,false,false,1.5051556220362858,F
16,female,caucasian,bachelors,2.7103374712150807,5,false,very high,false,false,true,false,2.977851918315743,C
16,male,caucasian,high-school,10.367992532661304,2,false,moderate,false,true,false,false,2.948717671911921,C
